industry,industry_uuid,category,subcategory_1,subcategory_2,uuid,name,description,price,cost,taxable,unit_of_measure,task_code,online_booking_enabled
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,901-2,200 Sq Ft","","",olit_0128e567de82461dba11abcbe0997e77,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.
",$213.61,$117.48,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,901-2,200 Sq Ft","","",olit_d77581535b6f4e8aad0fa14d2d126445,One-Time House Cleaning ,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$484.16,$266.28,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,901-2,200 Sq Ft","","",olit_2d91ea86c213430e8cf6e3303e8786cb,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.

",$161.18,$88.64,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,901-2,200 Sq Ft","","",olit_dd490b22d2d947c1bdb39d289e67db31,Monthly House Cleaning,"Get a fresh start every month. Our team of professionals will clean your home with care, making sure everything looks excellent.
Monthly cleaning appointments are scheduled every four weeks. ",$253.78,$139.57,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,601-1,900 Sq Ft","","",olit_b7dc1ffc2c404d6098a5476572daf75a,Monthly House Cleaning,"Get a fresh start every month. Our team of professionals will clean your home with care, making sure everything looks excellent.
Monthly cleaning appointments are scheduled every four weeks. ",$241.30,$132.55,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,601-1,900 Sq Ft","","",olit_55b5f027e5e141c48963d655c758c4a4,One-Time House Cleaning,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$469.54,$258.24,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,601-1,900 Sq Ft","","",olit_f36ec41361c74e78bf9b503b09c53dda,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.
",$152.13,$83.67,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,601-1,900 Sq Ft","","",olit_9169961daae9427ba2598b2429c0c4a8,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.
",$201.45,$110.79,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,601-1,900 Sq Ft","","",olit_8a089edc541345c3aee7f26c0849945c,Moving Cleaning,"Leave the cleaning to us when moving in or out. Our highly trained team will handle the deep cleaning, making the space spotless for the next residents.",$586.92,$322.80,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,201-2,500 Sq Ft","","",olit_fcb45c0beb1a477e821ea15f8f1308a5,One-Time House Cleaning,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$498.78,$274.32,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,201-2,500 Sq Ft","","",olit_c6a1fae7fb864a57a00fb788b3e4588e,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.
",$170.23,$93.62,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,201-2,500 Sq Ft","","",olit_a67eab0f089342e3b721f28e052eaec2,Monthly House Cleaning,"Get a fresh start every month. Our team of professionals will clean your home with care, making sure everything looks excellent.
Monthly cleaning appointments are scheduled every four weeks. ",$266.27,$146.44,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,201-2,500 Sq Ft","","",olit_61f76d4ffeae4d94a6599c29e2ef7a0c,Moving Cleaning,"Leave the cleaning to us when moving in or out. Our highly trained team will handle the deep cleaning, making the space spotless for the next residents.

Garage cleaning can be added at an additional charge.",$623.48,$342.91,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,201-2,500 Sq Ft","","",olit_8fd6029a750d4601ad09681dccc4eb28,Vacation Rental Cleaning,"Comprehensive cleaning service tailored for vacation rentals. Includes thorough cleaning of all rooms, sanitization of high-touch surfaces, meticulous attention to detail in kitchens and bathrooms, bed linen change, laundry service for towels and bedding (as needed), and preparation for guest arrivals. We ensure your property is spotless, welcoming, and ready for your next guests, maintaining the highest standards of cleanliness to enhance guest satisfaction.",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,301-1,600 Sq Ft","","",olit_63b80a355766492e96e78b94769e11fc,Moving Cleaning,"Leave the cleaning to us when moving in or out. Our highly trained team will handle the deep cleaning, making the space spotless for the next residents.",$568.65,$312.75,false,"","",true
Janitorial,ind_ddf8835196c9457d90af263be411cc43,Custom Services,"","",olit_e0131ffb88c74134933a692360856825,The Carlysle: Maintenance Cleaning,"Comprehensive maintenance cleaning of all designated areas, including common spaces, and pool areas, ensuring clean, welcoming facilities. 

Full description of services is provided in the completed service agreement.

Invoice Notes: 

Payments can be made by check, deposit, or credit card. Receipt will be sent when payment is received. Credit card payments are subject to additional fees. Direct deposit payments may be subject to additional fees.

Checks should be mailed to: 
Connect Cleaning
14831 Reflection Key Cir. #1712
Fort Myers, FL 33907",$2410.53,$0.00,false,"","",false
Janitorial,ind_ddf8835196c9457d90af263be411cc43,Custom Services,"","",olit_703f758b7afc4a4dace258043b970d75,The Carlysle: Initial Deep Clean,"Comprehensive cleaning of all designated areas, including soft wash of walkways and detailed attention to restrooms, common spaces, and pool areas, ensuring a pristine baseline for ongoing maintenance.

Full description of services is provided in the completed service agreement.",$944.77,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,001-1,300 Sq Ft","","",olit_18d9111b82084bb195fdfdea3bcc4162,One-Time House Cleaning,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$440.29,$242.15,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,001-1,300 Sq Ft","","",olit_d243362ab3bf4767a0c5b5f1e1a46a0d,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.
The cost of your initial cleaning is $286.88  and each following weekly cleaning is  $131.14 
",$131.14,$72.12,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,001-1,300 Sq Ft","","",olit_9a3d1084990c4b92ad5e785df9dccbb0,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.
The cost of your initial cleaning is $286.88  and each following biweekly cleaning will be  $173.31 ",$173.31,$95.32,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,001-1,300 Sq Ft","","",olit_1bd477e2d36940759420a8969d1490b2,Monthly House Cleaning,"Get a fresh start every month. Our team of professionals will clean your home with care, making sure everything looks excellent.
Monthly cleaning appointments are scheduled every four weeks. The cost of your initial cleaning is $286.88 and each following monthly cleaning will be $211.81.",$211.81,$116.49,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,001-1,300 Sq Ft","","",olit_08693cbd51b349f2adc85d0b7d386866,Moving Cleaning,"Leave the cleaning to us when moving in or out. Our highly trained team will handle the deep cleaning, making the space ready for the next residents.",$550.37,$302.70,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,301-1,600 Sq Ft","","",olit_d437bc8d0f4e4505870afb0e2cf52369,One-Time House Cleaning,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$454.92,$250.20,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,301-1,600 Sq Ft","","",olit_ce30dc6fcdb24722a65a77219d096faf,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.
",$139.99,$76.99,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,301-1,600 Sq Ft","","",olit_fde0da077ecc4f2a843b28a2ef2f752b,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.
",$185.22,$101.87,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,301-1,600 Sq Ft","","",olit_68c602d797364d7b85faf19c0d15442d,Monthly House Cleaning,"Get a fresh start every month. Our team of professionals will clean your home with care, making sure everything looks excellent.
Monthly cleaning appointments are scheduled every four weeks. ",$224.03,$123.21,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,301-1,600 Sq Ft","","",olit_10802442aab64bb69cc11a9e59d66e84,Vacation Rental Cleaning,"Comprehensive cleaning service tailored for vacation rentals. Includes thorough cleaning of all rooms, sanitization of high-touch surfaces, meticulous attention to detail in kitchens and bathrooms, bed linen change, laundry service for towels and bedding (as needed), and preparation for guest arrivals. We ensure your property is spotless, welcoming, and ready for your next guests, maintaining the highest standards of cleanliness to enhance guest satisfaction.",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,901-2,200 Sq Ft","","",olit_2589fdfa8c414a79abf31c9759119812,Moving Cleaning,"Leave the cleaning to us when moving in or out. Our highly trained team will handle the deep cleaning, making the space spotless for the next residents.",$605.20,$332.86,false,"","",true
Janitorial,ind_ddf8835196c9457d90af263be411cc43,Custom Services,"","",olit_99174816cb8e48d1a028ff0d417a5ab1,San Simeon: Amenities Center Cleaning,"Comprehensive maintenance cleaning of all designated areas, ensuring clean, welcoming facilities. 

Full description of services is provided in the completed service agreement.

Invoice Notes: 

Payments can be made by check, deposit, or credit card. Receipt will be sent when payment is received. Credit card payments are subject to additional fees. Direct deposit payments may be subject to additional fees.

Checks should be mailed to: 
Connect Cleaning
14831 Reflection Key Cir. #1712
Fort Myers, FL 33907",$0.00,$0.00,false,"","",false
Janitorial,ind_ddf8835196c9457d90af263be411cc43,Custom Services,"","",olit_8d469b5cc40347f791850ecb33c6067b,San Simeon: Custom Service,"",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"0-1,000 Sq Ft","","",olit_120dbb8bce0e4c85bf4859ebde31fb2f,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.

The first cleaning will be charged at the Initial Cleaning price.",$161.39,$88.76,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"0-1,000 Sq Ft","","",olit_d36f58e74c344479810af3eeb74465fa,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$274.34,$178.32,false,"","",true
Window & Exterior Cleaning,ind_50413bdcbb67410da504845ec48af17d,Window Cleaning,"","",olit_958b6c1127754c4e930bbebe88846648,Interior & Exterior Window Cleaning (Residential),"Comprehensive cleaning of both interior and exterior window surfaces, providing a fresh, clear view and revitalized appearance for your home. We deliver high-quality service with a focus on professionalism and detail. Removal of adhesives, paint, or other strongly adhered materials is not included in basic cleaning.

*Pricing is per window",$20.00,$20.00,false,Each,"",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,001-1,300 Sq Ft","","",olit_c7b8d0d23f8e40a1966e67837e212585,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$286.88,$186.47,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,301-1,600 Sq Ft","","",olit_feeb2563b92f4cf68adde22b180b987d,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$299.41,$194.61,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,601-1,900 Sq Ft","","",olit_52e3ec43f2f948ae88da484b483f4476,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$318.44,$206.98,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,901-2,200 Sq Ft","","",olit_267fff3b17774946a1b89a9fd551ac6b,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$331.24,$215.30,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,901-2,200 Sq Ft","","",olit_f3a8f2c28be54488afb7ccd2cbd77b63,Vacation Rental Cleaning,"Comprehensive cleaning service tailored for vacation rentals. Includes thorough cleaning of all rooms, sanitization of high-touch surfaces, meticulous attention to detail in kitchens and bathrooms, bed linen change, laundry service for towels and bedding (as needed), and preparation for guest arrivals. We ensure your property is spotless, welcoming, and ready for your next guests, maintaining the highest standards of cleanliness to enhance guest satisfaction.",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,201-2,500 Sq Ft","","",olit_7019db16ba65414c9eb45d2033d5fefe,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$344.03,$223.61,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,501-2,800 Sq Ft","","",olit_95d1a1c78c4b4ca09c3fddd9b6b35698,One-Time House Cleaning,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$513.41,$282.37,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,501-2,800 Sq Ft","","",olit_571e225bea7541ccae2cee201aa80f64,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.
",$179.28,$98.60,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,501-2,800 Sq Ft","","",olit_893d931ff53c45be89aacbfda38f77e4,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.
",$237.95,$130.87,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,501-2,800 Sq Ft","","",olit_0c6258ea38db45578e779507952d7f88,Monthly House Cleaning,"Get a fresh start every month. Our team of professionals will clean your home with care, making sure everything looks excellent.
Monthly cleaning appointments are scheduled every four weeks. ",$278.75,$153.31,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,501-2,800 Sq Ft","","",olit_796c879d2a8b4e5cbb78e2bf23790bd2,Moving Cleaning,"Leave the cleaning to us when moving in or out. Our highly trained team will handle the deep cleaning, making the space spotless for the next residents. We will clean your home top-to-bottom, including the inside of appliances, cupboards, and drawers. 

Garage cleaning can be added at an additional charge.",$641.76,$352.96,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,501-2,800 Sq Ft","","",olit_47b1ecfe1e7a4b18ba567fa862b3714d,Vacation Rental Cleaning,"Comprehensive cleaning service tailored for vacation rentals. Includes thorough cleaning of all rooms, sanitization of high-touch surfaces, meticulous attention to detail in kitchens and bathrooms, bed linen change, laundry service for towels and bedding (as needed), and preparation for guest arrivals. We ensure your property is spotless, welcoming, and ready for your next guests, maintaining the highest standards of cleanliness to enhance guest satisfaction.",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,501-2,800 Sq Ft","","",olit_61decec1639540f7b43d1d778f2c8419,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$356.82,$196.25,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,801-3,100 Sq Ft","","",olit_1936e99e9b4249ff91e8984bbfe27e20,One-Time House Cleaning,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$528.03,$290.41,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,801-3,100 Sq Ft","","",olit_2fdbe003754d4315bf6fccacd67cdf1e,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.",$188.32,$103.57,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,801-3,100 Sq Ft","","",olit_cf70214e399c4f119872512d82a5edf6,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.
",$250.12,$137.56,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,801-3,100 Sq Ft","","",olit_780cc88f0280402dab34f7779ff2d3cc,Monthly House Cleaning,"Get a fresh start every month. Our team of professionals will clean your home with care, making sure everything looks excellent.
",$291.23,$160.17,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,801-3,100 Sq Ft","","",olit_21f2d61ab590446fa0b9f8010be8d6d1,Moving Cleaning,"Leave the cleaning to us when moving in or out. Our highly trained team will handle the deep cleaning, making the space spotless for the next residents.

Garage cleaning can be added at an additional charge.",$660.03,$363.01,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,801-3,100 Sq Ft","","",olit_6c7900ebbb8b48fe9a8c0a7aa8322850,Vacation Rental Cleaning,"Comprehensive cleaning service tailored for vacation rentals. Includes thorough cleaning of all rooms, sanitization of high-touch surfaces, meticulous attention to detail in kitchens and bathrooms, bed linen change, laundry service for towels and bedding (as needed), and preparation for guest arrivals. We ensure your property is spotless, welcoming, and ready for your next guests, maintaining the highest standards of cleanliness to enhance guest satisfaction.",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,801-3,100 Sq Ft","","",olit_c54ba8ab5a124da0a8488a8f311a9eac,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$369.62,$240.25,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,101-3,400 Sq Ft","","",olit_9a75b3c3a96e4e908f510d8465beeea4,One-Time House Cleaning,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$542.65,$298.45,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,101-3,400 Sq Ft","","",olit_fc9ce3eb89bd434eb7715a384579ebb6,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$399.58,$259.72,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,101-3,400 Sq Ft","","",olit_8a66ad5b20394a8286f70852a80004ce,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.",$206.77,$113.72,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,101-3,400 Sq Ft","","",olit_04040051e5704cd5be8078e09c89d585,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.
",$274.67,$151.06,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,101-3,400 Sq Ft","","",olit_f69b74ae799c4b31a53f188f46061016,Monthly House Cleaning,"Get a fresh start every month. Our team of professionals will clean your home with care, making sure everything looks excellent.
",$317.69,$174.72,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,101-3,400 Sq Ft","","",olit_7c4c008a2a814aed865146c15dfd56ee,Moving Cleaning,"Leave the cleaning to us when moving in or out. Our highly trained team will handle the deep cleaning, making the space spotless for the next residents.

Garage cleaning can be added at an additional charge.",$678.31,$373.07,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,101-3,400 Sq Ft","","",olit_8874742fb2ff43c4bc7c844ae997e632,Vacation Rental Cleaning,"Comprehensive cleaning service tailored for vacation rentals. Includes thorough cleaning of all rooms, sanitization of high-touch surfaces, meticulous attention to detail in kitchens and bathrooms, bed linen change, laundry service for towels and bedding (as needed), and preparation for guest arrivals. We ensure your property is spotless, welcoming, and ready for your next guests, maintaining the highest standards of cleanliness to enhance guest satisfaction.",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,401-3,700 Sq Ft","","",olit_29717eee2c214f23a3530f018668f882,One-Time House Cleaning,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$577.27,$317.49,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,401-3,700 Sq Ft","","",olit_5862a5783858496d8990fed55bf806fd,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$412.95,$268.41,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,401-3,700 Sq Ft","","",olit_92c54c8949284030ad5bd8579ebead51,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.",$216.25,$118.93,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,401-3,700 Sq Ft","","",olit_d91ecfe19e824bb5af880c0199785a66,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.
",$287.41,$158.07,false,"","",false
